experiment,model,layer,domain,all_delta_auc,all_meta_mj_auc,all_truth_gt_auc,cb_cluster_n_boot_valid,cb_delta_auc,cb_delta_auc_ci_high,cb_delta_auc_ci_low,cb_delta_auc_p_le_zero,cb_meta_mj_auc,cb_meta_mj_auc_ci_high,cb_meta_mj_auc_ci_low,cb_question_clusters,cb_sample_size,cb_truth_gt_auc,cb_truth_gt_auc_ci_high,cb_truth_gt_auc_ci_low,fold_empty_quadrants,n_splits,question_clusters,sample_size,seed
Exp2A_GroupKFold,qwen25_7b,19,movies,0.17431829313513325,0.9641598790077094,0.7898415858725761,1000,0.44702324702324703,0.5246018136471241,0.357620844858311,0.0,0.8708750708750709,0.8997079810327758,0.8350896195719064,468,513,0.42385182385182385,0.4848786731400912,0.3677252348815247,,5,909,1824,962952459
Exp2A_GroupKFold,qwen25_7b,20,movies,0.17569335911000983,0.9650468140192127,0.7893534549092028,1000,0.4924021924021924,0.5739472382415587,0.4084053002816105,0.0,0.8781515781515782,0.9096785262569181,0.8445798188216762,468,513,0.3857493857493858,0.44320240346470696,0.3285909099024889,,5,909,1824,2760669701
Exp2A_GroupKFold,qwen25_7b,21,movies,0.1783751880511616,0.9651942092884653,0.7868190212373037,1000,0.5596862596862597,0.6370698790606625,0.48422316202668814,0.0,0.896030996030996,0.9230015646822154,0.867829209344769,468,513,0.33634473634473633,0.39183518303437004,0.2791674878855586,,5,909,1824,697709433
Exp2A_GroupKFold,qwen25_7b,22,movies,0.18158728236877053,0.9631883519286351,0.7816010695598645,1000,0.5712908712908713,0.6488062113879545,0.49462729750590845,0.0,0.9049329049329049,0.9344830905622602,0.8756440377025676,468,513,0.33364203364203365,0.3925452453431906,0.28022776849174086,,5,909,1824,3744996143
Exp2A_GroupKFold,qwen25_7b,23,movies,0.17828311399388808,0.9499099607159565,0.7716268467220684,1000,0.6023625023625023,0.6704750206872883,0.5310823695158678,0.0,0.8977697977697978,0.9245733451303235,0.8700922781162711,468,513,0.29540729540729543,0.34996768915489423,0.2438640940560147,,5,909,1824,2132246874
Exp2A_GroupKFold,qwen25_7b,24,movies,0.1781624122861728,0.9470107598546554,0.7688483475684826,1000,0.5756756756756757,0.6425376139494241,0.5034035935488385,0.0,0.8846720846720847,0.913159589035164,0.8531521705739369,468,513,0.308996408996409,0.36323515017813,0.2607339088085325,,5,909,1824,2146874834
Exp2A_GroupKFold,qwen25_7b,25,movies,0.17737828235357123,0.9457649494049717,0.7683866670514005,1000,0.5643545643545643,0.6412159015907779,0.4914296609506747,0.0,0.8747495747495747,0.9076095550403548,0.8436663631022326,468,513,0.3103950103950104,0.3646833938084703,0.2566671257663852,,5,909,1824,1906376791
Exp2A_GroupKFold,qwen25_7b,26,movies,0.19311490295861955,0.9440346571137442,0.7509197541551247,1000,0.5214326214326215,0.5919770741037363,0.44520632601889976,0.0,0.866962766962767,0.8995103259052943,0.8328410824928951,468,513,0.34553014553014555,0.4005565810526366,0.29752152008645516,,5,909,1824,3339239020
Exp2A_GroupKFold,qwen25_7b,27,movies,0.18950424296346025,0.938151663323571,0.7486474203601108,1000,0.4942354942354943,0.564132701026989,0.41375610766045545,0.0,0.8443205443205444,0.8769474871105128,0.8076021741215275,468,513,0.3500850500850501,0.4036654928796324,0.30237642603429465,,5,909,1824,3195254571
Exp2A_GroupKFold,llama31_8b,0,math,0.031515388086928,0.6344705656006592,0.6029551775137312,1000,-0.028308453155050817,-0.013779135393070406,-0.043357122255526216,1.0,0.7133437127942119,0.7420585377523589,0.6855839601136432,1240,1273,0.7416521659492628,0.768798723266239,0.7138251378754245,,5,1539,3078,3616134223
Exp2A_GroupKFold,llama31_8b,1,math,-0.0016110617202290678,0.6395481258065018,0.6411591875267308,1000,-0.04483621821290107,-0.031278340797932146,-0.06010662875076225,1.0,0.734716243856275,0.7617823071861182,0.7040882230946518,1240,1273,0.779552462069176,0.8053469154457997,0.7515539393059691,,5,1539,3078,3526127460
Exp2A_GroupKFold,llama31_8b,2,math,-0.07321608546777914,0.6470388753284309,0.72025496079621,1000,-0.07793754006777187,-0.05357960217511361,-0.10437730821027132,1.0,0.731117013157493,0.7587098137408987,0.7032016336363238,1240,1273,0.8090545532252649,0.8356253194678824,0.7831730857727878,,5,1539,3078,3331861635
Exp2A_GroupKFold,llama31_8b,3,math,-0.08447848925841717,0.650725462912579,0.7352039521709962,1000,-0.0697530298867417,-0.04464786366575286,-0.09326588212214003,1.0,0.7576060078761792,0.7883088486086167,0.7299104638391251,1240,1273,0.8273590377629209,0.8525877121072073,0.8028542609607751,,5,1539,3078,4011554151
Exp2A_GroupKFold,llama31_8b,4,math,-0.07048898084173849,0.6648445880816529,0.7353335689233914,1000,-0.056992398571297676,-0.03298240886675642,-0.08220217251961494,1.0,0.7753518331959581,0.8012909829185371,0.7472955255161314,1240,1273,0.8323442317672558,0.8579781111329831,0.8078332155847582,,5,1539,3078,2532815374
Exp2A_GroupKFold,llama31_8b,5,math,-0.06925360773658173,0.6838454781486606,0.7530990858852423,1000,-0.05727020178893061,-0.028015098510164333,-0.08437261602387398,1.0,0.7825716640718015,0.8084692960702509,0.7535673312860481,1240,1273,0.8398418658607321,0.8657958642364925,0.8133593364759486,,5,1539,3078,2949102488
Exp2A_GroupKFold,llama31_8b,6,math,-0.064070673327554,0.6980272772500428,0.7620979505775968,1000,-0.05652227004914978,-0.030606422464286232,-0.08333671824034064,1.0,0.7898433922520377,0.8176589184646725,0.7619776691179985,1240,1273,0.8463656623011875,0.8686761195102967,0.8214302162694108,,5,1539,3078,1234092393
Exp2A_GroupKFold,llama31_8b,7,math,-0.0567072751294988,0.7065893137544503,0.7632965888839491,1000,-0.043648685777085805,-0.01785583596369396,-0.06931747388970096,0.999,0.8053423695698629,0.8307263983680827,0.7792809616596231,1240,1273,0.8489910553469487,0.8718585039716766,0.8212086950645457,,5,1539,3078,3458001117
Exp2A_GroupKFold,llama31_8b,8,math,-0.04874337838571374,0.7223078388084763,0.77105121719419,1000,-0.03175199194065392,-0.004611312395859498,-0.06015868260327073,0.986,0.815175382361022,0.8390593478386662,0.7894792533271104,1240,1273,0.846927374301676,0.8720906813994314,0.8205748436777114,,5,1539,3078,382190140
Exp2A_GroupKFold,llama31_8b,9,math,-0.02437060692217563,0.7584575799505605,0.7828281868727361,1000,-0.03248160698476654,0.0032980024178237274,-0.06440413070815552,0.963,0.80011295295662,0.8266598953533164,0.7738050839062937,1240,1273,0.8325945599413865,0.8599911750500101,0.8054088053452515,,5,1539,3078,3553233540
Exp2A_GroupKFold,llama31_8b,10,math,-0.0007186955070258572,0.7898518757482005,0.7905705712552263,1000,-0.028100863937479015,0.009251764544382245,-0.0625400288431761,0.921,0.7883414232072534,0.8158663293707515,0.760060946338388,1240,1273,0.8164422871447324,0.8436287533307116,0.7868333508814865,,5,1539,3078,174705649
Exp2A_GroupKFold,llama31_8b,11,math,0.029576196072822136,0.828730605090095,0.7991544090172729,1000,-0.03226485941936075,0.011127298763831072,-0.07624637960685539,0.935,0.7543028970906982,0.7807281797600352,0.7263251440864534,1240,1273,0.786567756510059,0.8172392118667023,0.7554082485933645,,5,1539,3078,3122647262
Exp2A_GroupKFold,llama31_8b,12,math,0.042774103388538376,0.8451545762659163,0.8023804728773779,1000,-0.029337240895075833,0.016107803966947585,-0.07798620454665164,0.891,0.7363220075098452,0.7648632681645458,0.7057165374932333,1240,1273,0.7656592484049211,0.7936528856683258,0.7373831312968803,,5,1539,3078,4059955473
Exp2A_GroupKFold,llama31_8b,13,math,0.039960580553569325,0.8391952084078295,0.7992346278542601,1000,-0.029465457764752512,0.020517100972278816,-0.08231785510626534,0.87,0.6923344628628996,0.7202030122938167,0.6639350446879009,1240,1273,0.7217999206276521,0.7519722337238369,0.6904811065400787,,5,1539,3078,3417521151
