experiment,model,layer,source,target,direction,delta_auc,delta_auc_ci_high,delta_auc_ci_low,delta_auc_p,delta_n_boot_valid,meta_gt_auc,meta_gt_auc_ci_high,meta_gt_auc_ci_low,meta_gt_auc_p,meta_gt_n_boot_valid,meta_mj_auc,meta_mj_auc_ci_high,meta_mj_auc_ci_low,meta_mj_auc_p,meta_mj_n_boot_valid,model_label,n_B,n_C,n_questions,sample_size,source_empty_quadrants,source_label,target_label,truth_gt_auc,truth_gt_auc_ci_high,truth_gt_auc_ci_low,truth_gt_auc_p,truth_gt_n_boot_valid,truth_mj_auc,truth_mj_auc_ci_high,truth_mj_auc_ci_low,truth_mj_auc_p,truth_mj_n_boot_valid
OOD,qwen25_7b,6,movies,mmlu,movies->mmlu,0.0848557692307692,0.18413151364764266,-0.021171044808347278,0.057,1000,0.4186298076923077,0.5218987544214392,0.30345507644349423,0.941,1000,0.5813701923076923,0.6852265221388114,0.47465002429449554,0.059,1000,Qwen2.5-7B,260,32,280,292,,Movies source,MMLU,0.49651442307692306,0.5957189625480122,0.3934162053447902,0.548,1000,0.5034855769230769,0.5978758997176907,0.40913818764198423,0.476,1000
OOD,qwen25_7b,6,movies,truthfulqa_binary,movies->truthfulqa_binary,0.009688614672707985,0.05356654253185618,-0.030054354572245,0.318,1000,0.5209678974260098,0.5932642465060364,0.457392361028374,0.254,1000,0.47903210257399015,0.5450410002815392,0.4160954760246778,0.728,1000,Qwen2.5-7B,506,82,535,588,,Movies source,TruthfulQA,0.46934348790128216,0.5357006110892921,0.40625166934064405,0.798,1000,0.5306565120987178,0.5994149050779487,0.4655138126410747,0.171,1000
OOD,qwen25_7b,7,math,mmlu,math->mmlu,0.05612980769230763,0.29543211765552996,-0.18132104506957047,0.304,1000,0.48064903846153845,0.5971342539818244,0.3786898217008543,0.623,1000,0.5193509615384615,0.6307136699774462,0.41107446374390294,0.358,1000,Qwen2.5-7B,260,32,280,292,,Math source,MMLU,0.46322115384615387,0.5891136832516143,0.3411246861324342,0.707,1000,0.5367788461538462,0.6612135331186972,0.40296647202081143,0.284,1000
OOD,qwen25_7b,7,math,truthfulqa_binary,math->truthfulqa_binary,0.00151836498602137,0.13521765536251873,-0.12443789722461752,0.484,1000,0.5084835630965006,0.5764751741589181,0.44462195257562215,0.378,1000,0.49151643690349944,0.5547990765605305,0.4218682255853308,0.592,1000,Qwen2.5-7B,506,82,535,588,,Math source,TruthfulQA,0.4899980719174781,0.5594226082287413,0.42344691717739696,0.617,1000,0.510001928082522,0.5802001211625657,0.44666095342997636,0.392,1000
OOD,qwen25_7b,7,movies,mmlu,movies->mmlu,-0.012139423076923062,0.13358877422405158,-0.14994992726341874,0.555,1000,0.46634615384615385,0.5677587109348975,0.37482427381599026,0.768,1000,0.5336538461538461,0.6246640221792351,0.43961086387077697,0.241,1000,Qwen2.5-7B,260,32,280,292,,Movies source,MMLU,0.5457932692307692,0.6570556715266361,0.4389170296606037,0.192,1000,0.4542067307692308,0.5637912072479818,0.33367419841290563,0.777,1000
OOD,qwen25_7b,7,movies,truthfulqa_binary,movies->truthfulqa_binary,-0.05904752723416562,0.05964772974488014,-0.17483900198792163,0.836,1000,0.548129759953726,0.6110067564037134,0.48352459782207463,0.067,1000,0.45187024004627396,0.5169461046450666,0.391423478482302,0.924,1000,Qwen2.5-7B,506,82,535,588,,Movies source,TruthfulQA,0.5109177672804396,0.5805776597396582,0.43309537544995885,0.38,1000,0.4890822327195604,0.5600045670514618,0.4181927880288029,0.637,1000
OOD,qwen25_7b,8,math,mmlu,math->mmlu,0.04579326923076926,0.2451903527384295,-0.16736155148484055,0.292,1000,0.48125,0.5854202244804358,0.3816460837989291,0.633,1000,0.51875,0.6162674618090517,0.42139103882588175,0.348,1000,Qwen2.5-7B,260,32,280,292,,Math source,MMLU,0.4729567307692308,0.5751629233719501,0.3684502987608343,0.687,1000,0.5270432692307693,0.6263535424120453,0.41915927686665017,0.312,1000
OOD,qwen25_7b,8,math,truthfulqa_binary,math->truthfulqa_binary,0.01118287862720524,0.12647927219615016,-0.11176586337691086,0.403,1000,0.4932999132362865,0.5564182940135545,0.4301209458455733,0.592,1000,0.5067000867637135,0.5631986864912877,0.4459326456217916,0.411,1000,Qwen2.5-7B,506,82,535,588,,Math source,TruthfulQA,0.49551720813650824,0.5580619605616033,0.43372229700487624,0.534,1000,0.5044827918634918,0.5680987408756896,0.44003324178283887,0.445,1000
OOD,qwen25_7b,8,movies,mmlu,movies->mmlu,0.03281250000000002,0.2185534045950713,-0.1738951612903226,0.387,1000,0.48173076923076924,0.5792097667662018,0.3803524820405638,0.655,1000,0.5182692307692308,0.6270554270800313,0.4175300233125036,0.363,1000,Qwen2.5-7B,260,32,280,292,,Movies source,MMLU,0.4854567307692308,0.5822270195049722,0.3752462121212121,0.637,1000,0.5145432692307692,0.6168266823515217,0.4102027010513011,0.387,1000
OOD,qwen25_7b,8,movies,truthfulqa_binary,movies->truthfulqa_binary,-0.11722741733346193,0.022097085552415345,-0.24708298196727732,0.957,1000,0.5673382820784729,0.6315498330587437,0.5037086487231632,0.02,1000,0.432661717921527,0.49866442030177394,0.3714617925308731,0.978,1000,Qwen2.5-7B,506,82,535,588,,Movies source,TruthfulQA,0.549889135254989,0.6104158673635169,0.48273353952130943,0.063,1000,0.4501108647450111,0.5129584736595392,0.38053776778161785,0.938,1000
